composition          ,hardness ,load
Zr0.5Gd0.5B12        ,     0.0 ,0.98
Zr0.5Hf0.25Gd0.25B20 ,     0.0 ,0.98
Zr0.5Hf0.25Y0.25B20  ,     0.0 ,0.98
Zr0.5W0.5B4          ,     0.0 ,0.98
Zr0.5Y0.25Gd0.25B20  ,     0.0 ,0.98
Zr0.75Gd0.25B12      ,     0.0 ,0.98
Zr0.8Mo2Ge0.2        ,     0.0 ,0.98
Zr0.95Gd0.05B12      ,     0.0 ,0.98
Zr0.9Mo2Al0.1        ,     0.0 ,0.98
Zr0.9Nb2.1Sn         ,     0.0 ,0.98
Zr2Rh                ,     0.0 ,0.98
Zr3Ge                ,     0.0 ,0.98
Zr5Ge3               ,     0.0 ,0.98
Zr5Ge4               ,     0.0 ,0.98
ZrB12                ,     0.0 ,0.98
ZrB20                ,     0.0 ,0.98
ZrGe                 ,     0.0 ,0.98
ZrGe2                ,     0.0 ,0.98
ZrMn2                ,     0.0 ,0.98
ZrMo2                ,     0.0 ,0.98
ZrMoAl               ,     0.0 ,0.98
ZrO2                 ,     0.0 ,0.98
ZrRh3                ,     0.0 ,0.98
ZrV2                 ,     0.0 ,0.98
ZrW2                 ,     0.0 ,0.98
