composition,hardness,load
Y0.25Zr0.75B12,36.39841791,0.98
Y0.5Hf0.25Gd0.25B20,37.4,0.98
Y0.5Sc0.5CrB4,35.37329127,0.98
Y0.5Sc1.5ReB6,33.87043031,0.98
Y0.5Zr0.5B12,38.40990058,0.98
Y0.75Sc0.25CrB4,33.05993691,0.98
Y0.75Sc1.25ReB6,33.94863904,0.98
Y0.75Zr0.25B12,35.75808038,0.98
Y0.95Sc0.05CrB4,32.49211356,0.98
Y1.25Sc0.75ReB6,33.9048655,0.98
Y1.5Sc0.5ReB6,34.15822147,0.98
Y1.75Sc0.25ReB6,33.63580411,0.98
Y1.95Sc0.05ReB6,32.93758512,0.98
Y2Re0.5Cr0.5B6,25.48268398,0.98
Y2Re0.75Cr0.25B6,30.21753247,0.98
Y2Re0.95Cr0.05B6,34.11363636,0.98
Y2ReB6,32.46270848,0.98
Yb0.5Lu0.5Al3,5.16,0.98
YB12,34.64052092,0.98
YB20,34.4,0.98
YCrB4,33.13676406,0.98
YRe0.25Cr0.75B4,32.99336355,0.98
YRe0.5Cr0.5B4,37.15184983,0.98
YRe0.75Cr0.25B4,33.15941414,0.98
YRe0.95Cr0.05B4,31.1277426,0.98
YReB4,30.42486152,0.98
YScReB6,35.7536478,0.98
Zr0.04W0.96B4,40.71027986,0.98
Zr0.06W0.94B4,41.20465747,0.98
Zr0.08W0.92B4,43.78804635,0.98
Zr0.1W0.9B4,38.50872956,0.98
Zr0.25Hf0.25Gd0.5B20,36.5,0.98
Zr0.25Hf0.25Y0.5B20,33.8,0.98
Zr0.25Hf0.5Gd0.25B20,33.9,0.98
Zr0.25Hf0.5Y0.25B20,35.5,0.98
Zr0.25Y0.25Gd0.5B20,36.0,0.98
Zr0.25Y0.5Gd0.25B20,33.5,0.98
Zr0.2Nb2.8Sn0.5Ge0.5,7.84,0.98
Zr0.2W0.8B4,39.41394107,0.98
Zr0.5Gd0.5B12,34.5,0.98
Zr0.5Hf0.25Gd0.25B20,36.9,0.98
Zr0.5Hf0.25Y0.25B20,36.4,0.98
Zr0.5W0.5B4,38.85111847,0.98
Zr0.5Y0.25Gd0.25B20,35.1,0.98
Zr0.75Gd0.25B12,34.4,0.98
Zr0.8Mo2Ge0.2,8.947,0.98
Zr0.95Gd0.05B12,35.0,0.98
Zr0.9Mo2Al0.1,7.681,0.98
Zr0.9Nb2.1Sn,7.35,0.98
Zr2Rh,4.31,0.98
Zr3Ge,5.9,0.98
Zr5Ge3,11.7,0.98
Zr5Ge4,10.33,0.98
ZrB12,35.2,0.98
ZrB20,34.9,0.98
ZrGe,7.4,0.98
ZrGe2,5.7,0.98
ZrMn2,7.86,0.98
ZrMo2,10.74,0.98
ZrMoAl,6.523,0.98
ZrO2,13.0,0.98
ZrRh3,6.37,0.98
ZrV2,3.6,0.98
ZrW2,11.1,0.98
